,"
","639-3
","
","639-1
","
","639-2B
","
","Scope/Type
","
","Family
","
","Native
","
","eng
","
","fra
","
","spa
","
","zho
","
","rus
","
","deu
"
172,"
","aie 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Amara,"
",,"
",,"
",,"
",амара,"
","
"
173,"
","aif 
","
",,"
",,"
",I/L,"
",Torricelli,"
",,"
",Agi,"
",,"
",,"
",,"
",аги,"
","
"
174,"
","aig 
","
",,"
",,"
",I/L,"
",English Creole,"
",,"
",Antigua and Barbuda Creole English,"
",créole anglais d’Antigua-et-Barbuda,"
",criollo de Antigua y Barbuda,"
",安提瓜和巴布达克里奥尔英语,"
",креольский английский (Антигуа и Барбуда),"
","
"
175,"
","aih 
","
",,"
",,"
",I/L,"
",Tai–Kadai,"
",,"
",Ai-Cham,"
",,"
",,"
",锦语,"
",ай-чам,"
","
"
176,"
","aii 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
","ܣܘܪܝܝܐ  ܣܘܪܝܬ,ܐܬܘܪܝܐ ܣܘܪܝܝܐ","
",Assyrian Neo-Aramaic,"
",néo-araméen (assyrien),"
",,"
",,"
",ассирийский новоарамейский,"
","
"
177,"
","aij 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Lishanid Noshan,"
",,"
",,"
",,"
",лишанид-ношан,"
","
"
178,"
","aik 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Ake,"
",,"
",,"
",,"
",аке,"
","
"
179,"
","ail 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Aimele,"
",,"
",,"
",,"
",аймеле,"
","
"
180,"
","aim 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",,"
",Aimol,"
",,"
",,"
",,"
",аймол,"
","
"
181,"
","ain 
","
",,"
",ain,"
",I/L,"
",isolate,"
",アイヌ イタク(イタック),"
",Ainu (Japan),"
",aïnou (Japon),"
",,"
",阿伊努语,"
",айнский,"
","Ainu
"
182,"
","aio 
","
",,"
",,"
",I/L,"
",Tai–Kadai,"
",,"
",Aiton,"
",,"
",,"
",艾通语,"
",айтон,"
","
"
183,"
","aip 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Burumakok,"
",,"
",,"
",,"
",бурумакок,"
","
"
184,"
","aiq 
","
",,"
",,"
",I/L,"
",Indo-European,"
",,"
",Aimaq,"
",,"
",,"
",,"
",аймак,"
","
"
185,"
","air 
","
",,"
",,"
",I/L,"
",Tor-Kwerba,"
",,"
",Airoran,"
",,"
",,"
",,"
",айронан,"
","
"
186,"
","(ais) 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
","Amis, Nataoran","
",,"
",,"
",豆兰阿美语,"
",натаоран-амис,"
","
"
187,"
","ait 
","
",,"
",,"
",I/E,"
",Tupian,"
",,"
",Arikem,"
",,"
",arikem,"
",,"
",арикем,"
","
"
188,"
","aiw 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Aari,"
",,"
",,"
",,"
",аари,"
","
"
189,"
","aix 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Aigon,"
",,"
",,"
",,"
",айгон,"
","
"
190,"
","aiy 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Ali,"
",,"
",,"
",,"
",али,"
","
"
191,"
","(aiz) 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Aari,"
",,"
",,"
",,"
",аари,"
","
"
192,"
","aja 
","
",,"
",,"
",I/L,"
",Nilo-Saharan,"
",,"
",Aja (Sudan),"
",,"
",,"
",,"
",аджа (Судан),"
","
"
193,"
","ajg 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Aja (Benin),"
",,"
",,"
",,"
",аджа (Бенин),"
","
"
194,"
","aji 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Ajië,"
",,"
",,"
",,"
",аджиэ,"
","
"
195,"
","ajn 
","
",,"
",,"
",I/L,"
",Worroran,"
",,"
",Andajin,"
",,"
",,"
",,"
",антатин,"
","
"
196,"
","ajp 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Arabic (South Levantine),"
",arabe (lévantin du Sud),"
",,"
",南黎凡特阿拉伯语,"
",арабский (южно-левантийский),"
","Arabisch (Südlevantisch)
"
197,"
","ajt 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Arabic (Judeo-Tunisian),"
",arabe (judéo-tunisien),"
",,"
",,"
",арабский (иудео-тунисский),"
","
"
198,"
","aju 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Arabic (Judeo-Moroccan),"
",arabe (judéo-marocain),"
",,"
",,"
",арабский (иудео-марокканский),"
","
"
199,"
","ajw 
","
",,"
",,"
",I/E,"
",Afro-Asiatic,"
",,"
",Ajawa,"
",,"
",,"
",,"
",аджава,"
","
"
200,"
","ajz 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",,"
",Amri,"
",,"
",,"
",,"
",амри,"
","
"
201,"
","aka 
","
",ak,"
",aka,"
",M/L,"
",Niger–Congo,"
",Akan,"
",Akan,"
",akan,"
",acano,"
",阿坎语,"
",акан,"
","Akan
"
202,"
","akb 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Batak Angkola,"
",angkola batak,"
",,"
",,"
",ангкола-батак,"
","
"
203,"
","akc 
","
",,"
",,"
",I/L,"
",isolate,"
",,"
",Mpur,"
",,"
",,"
",,"
",мпур,"
","
"
204,"
","akd 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Ukpet-Ehom,"
",,"
",,"
",,"
",укпет-эхом,"
","
"
205,"
","ake 
","
",,"
",,"
",I/L,"
",Cariban,"
",,"
",Akawaio,"
",,"
",,"
",,"
",акавайо,"
","
"
206,"
","akf 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Akpa,"
",,"
",,"
",,"
",акпа,"
","
"
207,"
","akg 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Anakalangu,"
",,"
",,"
",,"
",анакалангу,"
","
"
208,"
","akh 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Angal Heneng,"
",,"
",,"
",,"
",ангал-хененг,"
","
"
209,"
","aki 
","
",,"
",,"
",I/L,"
",Ramu,"
",,"
",Aiome,"
",,"
",,"
",,"
",аиоме,"
","
"
210,"
","akj 
","
",,"
",,"
",I/E,"
",Great Andamanese,"
",,"
",Aka-Jeru,"
",,"
",,"
",,"
",джеру,"
","
"
211,"
","akk 
","
",,"
",akk,"
",I/A,"
",Afro-Asiatic,"
",akkadû,"
",Akkadian,"
",akkadien,"
",acadio,"
",阿卡德语,"
",Аккадский,"
","Akkadisch
"
212,"
","akl 
","
",,"
",,"
",I/L,"
",Austronesian,"
",Inakeanon,"
",Aklanon,"
",,"
",,"
",,"
",акланон,"
","
"
213,"
","akm 
","
",,"
",,"
",I/E,"
",Great Andamanese,"
",,"
",Aka-Bo,"
",,"
",,"
",,"
",бо,"
","
"
214,"
","(akn) 
","
",,"
",,"
",I/L,"
",spurious language,"
",,"
",Amikoana,"
",,"
",,"
",,"
",амикоана,"
","
"
215,"
","ako 
","
",,"
",,"
",I/L,"
",Cariban,"
",,"
",Akurio,"
",,"
",akurio,"
",,"
",акурио,"
","
"
216,"
","akp 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Siwu,"
",,"
",,"
",,"
",сиву,"
","
"
217,"
","akq 
","
",,"
",,"
",I/L,"
",Sepik,"
",,"
",Ak,"
",,"
",,"
",,"
",ак,"
","
"
218,"
","akr 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Araki,"
",,"
",,"
",,"
",араки,"
","
"
219,"
","aks 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Akaselem,"
",,"
",,"
",,"
",акаселем,"
","
"
220,"
","akt 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Akolet,"
",,"
",,"
",,"
",аколет,"
","
"
221,"
","aku 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",aakuem,"
",Akum,"
",,"
",,"
",,"
",акум,"
","
"
222,"
","akv 
","
",,"
",,"
",I/L,"
",Northeast Caucasian,"
",,"
",Akhvakh,"
",,"
",akhvakh,"
",,"
",ахвахский,"
","
"
223,"
","akw 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Akwa,"
",,"
",,"
",,"
",аква,"
","
"
224,"
","akx 
","
",,"
",,"
",I/E,"
",Great Andamanese,"
",,"
",Aka-Kede,"
",,"
",,"
",,"
",кеде,"
","
"
225,"
","aky 
","
",,"
",,"
",I/E,"
",Great Andamanese,"
",,"
",Aka-Kol,"
",,"
",,"
",,"
",кол,"
","
"
226,"
","akz 
","
",,"
",,"
",I/L,"
",Muskogean,"
",Albaamo innaaɬiilka,"
",Alabama,"
",,"
",Alabama,"
",,"
",алабама,"
","
"
227,"
","ala 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Alago,"
",,"
",,"
",,"
",алаго,"
","
"
228,"
","alc 
","
",,"
",,"
",I/L,"
",Alacalufan,"
",alacalufe,"
",Qawasqar,"
",,"
",,"
",,"
",каваскар,"
","
"
229,"
","ald 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Alladian,"
",,"
",,"
",,"
",алладиан,"
","
"
230,"
","ale 
","
",,"
",ale,"
",I/L,"
",Eskimo-Aleut,"
",Unangax tunuu,"
",Aleut,"
",aléoute,"
",,"
",阿留申语,"
",алеутский,"
","
"
231,"
","alf 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Alege,"
",,"
",,"
",,"
",алеге,"
","
"
232,"
","alh 
","
",,"
",,"
",I/L,"
",Arnhem,"
",,"
",Alawa,"
",,"
",,"
",,"
",алава,"
","
"
233,"
","ali 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Amaimon,"
",,"
",,"
",,"
",амаимон,"
","
"
234,"
","alj 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Alangan,"
",,"
",,"
",,"
",аланган,"
","
"
235,"
","alk 
","
",,"
",,"
",I/L,"
",Austroasiatic,"
",,"
",Alak,"
",,"
",,"
",,"
",алак,"
","
"
236,"
","all 
","
",,"
",,"
",I/L,"
",Dravidian,"
",,"
",Allar,"
",,"
",,"
",,"
",аллар,"
","
"
237,"
","alm 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Amblong,"
",,"
",,"
",,"
",амблонг,"
","
"
238,"
","aln 
","
",,"
",,"
",I/L,"
",Indo-European,"
",gegnisht,"
",Albanian (Gheg),"
",albanais (Gheg),"
",,"
",盖格阿尔巴尼亚语,"
",гегский албанский,"
","Albanisch (Gheg)
"
239,"
","alo 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Larike-Wakasihu,"
",,"
",,"
",,"
",ларике-вакасиху,"
","
"
240,"
","alp 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Alune,"
",,"
",,"
",,"
",алуне,"
","
"
241,"
","alq 
","
",,"
",,"
",I/L,"
",Algic,"
",Anishnaabemowin (Omaamiwininimowin),"
",Algonquin,"
",Algonquin,"
",,"
",,"
",алгонкинский,"
","
"
242,"
","alr 
","
",,"
",,"
",I/L,"
",Chukotko-Kamchatkan,"
",,"
",Alutor,"
",,"
",,"
",,"
",алюторский,"
","
"
243,"
","als 
","
",,"
",,"
",I/L,"
",Indo-European,"
",toskërishte,"
",Albanian (Tosk),"
",albanais (Tosk),"
",,"
",托斯克阿尔巴尼亚语,"
",тоскский албанский,"
","Albanisch (Tosk)
"
244,"
","alt 
","
",,"
",alt,"
",I/L,"
",Turkic,"
",Алтай тили,"
",Altai (Southern),"
",altaï (du Sud),"
",altay,"
",南阿尔泰语,"
",алтайский,"
","Südaltaisch
"
245,"
","alu 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",'Are'are,"
",,"
",,"
",,"
",ареаре,"
","
"
246,"
","alw 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Alaba,"
",,"
",,"
",,"
",алаба,"
","
"
247,"
","alx 
","
",,"
",,"
",I/L,"
",Torricelli,"
",,"
",Alatil,"
",,"
",,"
",,"
",алатил,"
","
"
248,"
","aly 
","
",,"
",,"
",I/L,"
",Pama–Nyungan,"
",,"
",Alyawarr,"
",,"
",,"
",,"
",аляварр,"
","
"
249,"
","alz 
","
",,"
",,"
",I/L,"
",Nilo-Saharan,"
",,"
",Alur,"
",,"
",,"
",阿卢尔语,"
",алур,"
","
"
250,"
","ama 
","
",,"
",,"
",I/E,"
",Tupian,"
",,"
",Amanayé,"
",,"
",amanayé,"
",,"
",аманайе,"
","
"
251,"
","amb 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Ambo,"
",,"
",,"
",安博语,"
",амбо,"
","
"
252,"
","amc 
","
",,"
",,"
",I/L,"
",Pano-Tacanan,"
",,"
",Amahuaca,"
",,"
",amahuaca,"
",,"
",амауака,"
","
"
253,"
","(amd) 
","
",,"
",,"
",I/L,"
",spurious language,"
",,"
",Amapá Creole,"
",,"
",,"
",,"
",креольский (амапа),"
","
"
254,"
","ame 
","
",,"
",,"
",I/L,"
",Arawakan,"
",Yanešač,"
",Yanesha',"
",,"
",,"
",,"
",янеша,"
","
"
255,"
","amf 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Hamer-Banna,"
",,"
",,"
",,"
",хамер-банна,"
","
"
256,"
","amg 
","
",,"
",,"
",I/L,"
",Iwaidjan,"
",,"
",Amarag,"
",,"
",,"
",,"
",амараг,"
","
"
257,"
","amh 
","
",am,"
",amh,"
",I/L,"
",Afro-Asiatic,"
",አማርኛ,"
",Amharic,"
",amharique,"
",amárico,"
",阿姆哈拉语,"
",амхарский,"
","Amharisch
"
258,"
","ami 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Amis,"
",,"
",,"
",阿美语,"
",амис,"
","
"
259,"
","amj 
","
",,"
",,"
",I/L,"
",Nilo-Saharan,"
",,"
",Amdang,"
",,"
",,"
",,"
",амданг,"
","
"
260,"
","amk 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Ambai,"
",,"
",,"
",,"
",амбай,"
","
"
261,"
","aml 
","
",,"
",,"
",I/L,"
",Austroasiatic,"
",,"
",War,"
",,"
",,"
",,"
",вар,"
","
"
262,"
","amm 
","
",,"
",,"
",I/L,"
",Left May,"
",,"
",Ama (Papua New Guinea),"
",ama (Papouasie-Nouvelle-Guinée),"
",,"
",,"
",ама,"
","
"
263,"
","amn 
","
",,"
",,"
",I/L,"
",Border,"
",,"
",Amanab,"
",,"
",,"
",,"
",аманаб,"
","
"
264,"
","amo 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Amo,"
",,"
",,"
",,"
",амо,"
","
"
265,"
","amp 
","
",,"
",,"
",I/L,"
",Sepik,"
",,"
",Alamblak,"
",,"
",,"
",,"
",аламблак,"
","
"
266,"
","amq 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Amahai,"
",,"
",,"
",,"
",амахай,"
","
"
267,"
","amr 
","
",,"
",,"
",I/L,"
",Otomakoan,"
",,"
",Amarakaeri,"
",,"
",,"
",,"
",амаракаери,"
","
"
268,"
","ams 
","
",,"
",,"
",I/L,"
",Japonic,"
",,"
","Amami-Oshima, Southern","
",,"
",,"
",南奄美琉球语,"
",южный амами-ошима,"
","
"
269,"
","amt 
","
",,"
",,"
",I/L,"
",Amto-Musan,"
",,"
",Amto,"
",,"
",,"
",,"
",амто,"
","
"
270,"
","amu 
","
",,"
",,"
",I/L,"
",Oto-Manguean,"
",,"
","Amuzgo, Guerrero","
",,"
",,"
",,"
",геррерский амусго,"
","
"
271,"
","amv 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Ambelau,"
",,"
",,"
",,"
",амбелау,"
","
"
272,"
","amw 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
","ܐܪܡܝܬ, آرامي","
",Western Neo-Aramaic,"
",néo-araméen (occidental),"
",,"
",西部现代亚拉姆语,"
",западный новоарамейский,"
","
"
273,"
","amx 
","
",,"
",,"
",I/L,"
",Pama–Nyungan,"
",,"
",Anmatyerre,"
",,"
",,"
",,"
",анматьерре,"
","
"
274,"
","amy 
","
",,"
",,"
",I/L,"
",Northern Daly,"
",,"
",Ami,"
",,"
",,"
",,"
",ами,"
","
"
275,"
","amz 
","
",,"
",,"
",I/E,"
",Pama–Nyungan,"
",,"
",Atampaya,"
",,"
",,"
",,"
",атампая,"
","
"
276,"
","ana 
","
",,"
",,"
",I/E,"
",Barbacoan,"
",,"
",Andaqui,"
",,"
",andaquí,"
",,"
",андаки,"
","
"
277,"
","anb 
","
",,"
",,"
",I/E,"
",Zaparoan,"
",,"
",Andoa,"
",,"
",andoa,"
",,"
",андоа,"
","
"
278,"
","anc 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Ngas,"
",,"
",,"
",,"
",нгас,"
","
"
279,"
","and 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Ansus,"
",,"
",,"
",,"
",ансус,"
","
"
280,"
","ane 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Xârâcùù,"
",,"
",,"
",,"
",харачыы,"
","
"
281,"
","anf 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Animere,"
",,"
",,"
",,"
",анимере,"
","
"
282,"
","ang 
","
",,"
",ang,"
",I/H,"
",Indo-European,"
",Englisc,"
",Anglo-Saxon or Old English,"
",Anglo-Saxon,"
",,"
",古英语,"
",староанглийский,"
","Angelsächsisch (Altenglisch)
"
283,"
","anh 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Nend,"
",,"
",,"
",,"
",ненд,"
","
"
284,"
","ani 
","
",,"
",,"
",I/L,"
",Northeast Caucasian,"
",,"
",Andi,"
",,"
",andí,"
",安迪语,"
",андийский,"
","
"
285,"
","anj 
","
",,"
",,"
",I/L,"
",Ramu,"
",,"
",Anor,"
",,"
",,"
",,"
",анор,"
","
"
286,"
","ank 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Goemai,"
",,"
",,"
",,"
",гоэмай,"
","
"
287,"
","anl 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",,"
",Anu,"
",,"
",,"
",,"
",ану,"
","
"
288,"
","anm 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",,"
",Anal,"
",,"
",anal,"
",,"
",анал,"
","
"
289,"
","ann 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Obolo,"
",,"
",,"
",,"
",оболо,"
","
"
290,"
","ano 
","
",,"
",,"
",I/L,"
",isolate,"
",,"
",Andoque,"
",,"
",,"
",,"
",андоке,"
","
"
291,"
","anp 
","
",,"
",anp,"
",I/L,"
",Indo-European,"
",,"
",Angika,"
",angika,"
",,"
",安吉卡语,"
",ангика,"
","
"
292,"
","anq 
","
",,"
",,"
",I/L,"
",Ongan,"
",,"
",Jarawa (India),"
",jarawa (Inde),"
",,"
",,"
",джарава,"
","
"
293,"
","anr 
","
",,"
",,"
",I/L,"
",Indo-European,"
",,"
",Andh,"
",,"
",,"
",,"
",андх,"
","
"
294,"
","ans 
","
",,"
",,"
",I/E,"
",Chocoan,"
",,"
",Anserma,"
",,"
",,"
",,"
",ансерма,"
","
"
295,"
","ant 
","
",,"
",,"
",I/L,"
",Pama–Nyungan,"
",,"
",Antakarinya,"
",,"
",,"
",,"
",антакариня,"
","
"
296,"
","anu 
","
",,"
",,"
",I/L,"
",Nilo-Saharan,"
",,"
",Anuak,"
",,"
",,"
",,"
",ануак,"
","
"
297,"
","anv 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Denya,"
",,"
",,"
",,"
",денья,"
","
"
298,"
","anw 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Anaang,"
",,"
",,"
",,"
",анаанг,"
","
"
299,"
","anx 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Andra-Hus,"
",,"
",,"
",,"
",андра-хус,"
","
"
300,"
","any 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Anyin,"
",,"
",,"
",,"
",аньин,"
","
"
301,"
","anz 
","
",,"
",,"
",I/L,"
",Yele-West New Britain,"
",,"
",Anem,"
",,"
",,"
",,"
",анем,"
","
"
302,"
","aoa 
","
",,"
",,"
",I/L,"
",Portuguese Creole,"
",,"
",Angolar,"
",,"
",,"
",,"
",анголар,"
","
"
303,"
","aob 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Abom,"
",,"
",,"
",,"
",абом,"
","
"
304,"
","aoc 
","
",,"
",,"
",I/L,"
",Cariban,"
",,"
",Pemon,"
",,"
",pemón,"
",,"
",пемон,"
","
"
305,"
","aod 
","
",,"
",,"
",I/L,"
",Ramu,"
",,"
",Andarum,"
",,"
",,"
",,"
",андарум,"
","
"
306,"
","aoe 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Angal Enen,"
",,"
",,"
",,"
",ангал-энен,"
","
"
307,"
","aof 
","
",,"
",,"
",I/L,"
",Torricelli,"
",,"
",Bragat,"
",,"
",,"
",,"
",брагат,"
","
"
308,"
","aog 
","
",,"
",,"
",I/L,"
",Ramu,"
",,"
",Angoram,"
",,"
",,"
",,"
",ангорам,"
","
"
309,"
","(aoh) 
","
",,"
",,"
",I/E,"
",spurious language,"
",,"
",Arma,"
",,"
",,"
",,"
",арма,"
","
"
310,"
","aoi 
","
",,"
",,"
",I/L,"
",Arnhem,"
",,"
",Anindilyakwa,"
",,"
",,"
",,"
",энинтиляква,"
","
"
311,"
","aoj 
","
",,"
",,"
",I/L,"
",Torricelli,"
",,"
",Mufian,"
",,"
",,"
",,"
",муфиан,"
","
"
312,"
","aok 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Arhö,"
",,"
",,"
",,"
",архо,"
","
"
313,"
","aol 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Alor,"
",,"
",,"
",,"
",алорский,"
","
"
314,"
","aom 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Ömie,"
",,"
",,"
",,"
",омие,"
","
"
315,"
","aon 
","
",,"
",,"
",I/L,"
",Torricelli,"
",,"
","Arapesh, Bumbita","
",,"
",,"
",,"
",бумбита-арапеш,"
","
"
316,"
","aor 
","
",,"
",,"
",I/E,"
",Austronesian,"
",,"
",Aore,"
",,"
",,"
",,"
",аоре,"
","
"
317,"
","aos 
","
",,"
",,"
",I/L,"
",Border,"
",,"
",Taikat,"
",,"
",,"
",,"
",тайкат,"
","
"
318,"
","aot 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",,"
",A'tong,"
",,"
",,"
",,"
",атонг,"
","
"
319,"
","aou 
","
",,"
",,"
",I/L,"
",Tai–Kadai,"
",,"
",Gelao,"
",,"
",,"
",,"
",гэлао,"
","
"
320,"
","aox 
","
",,"
",,"
",I/L,"
",Arawakan,"
",,"
",Atorada,"
",,"
",,"
",,"
",аторада,"
","
"
321,"
","aoz 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Uab Meto,"
",,"
",,"
",,"
",уаб-мето,"
","
"
322,"
","apb 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Sa'a,"
",,"
",,"
",,"
",саа,"
","
"
323,"
","apc 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Arabic (North Levantine),"
",arabe (lévantin du Nord),"
",,"
",北黎凡特阿拉伯语,"
",арабский (северный левантийский),"
","
"
324,"
","apd 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Arabic (Sudanese),"
",arabe (soudanais),"
",,"
",苏丹阿拉伯语,"
",арабский (суданский),"
","
"
325,"
","ape 
","
",,"
",,"
",I/L,"
",Torricelli,"
",,"
",Bukiyip,"
",,"
",,"
",,"
",букийип,"
","
"
326,"
","apf 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Pahanan Agta,"
",,"
",,"
",,"
",паханан-агта,"
","
"
327,"
","apg 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Ampanang,"
",,"
",,"
",,"
",ампананг,"
","
"
328,"
","aph 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",,"
",Athpariya,"
",,"
",,"
",,"
",атпария,"
","
"
329,"
","api 
","
",,"
",,"
",I/L,"
",Tupian,"
",,"
",Apiacá,"
",,"
",apiacá,"
",,"
",апиака,"
","
"
330,"
","apj 
","
",,"
",,"
",I/L,"
",Apache,"
",Abáachi mizaa,"
",Apache (Jicarilla),"
",Apache (Jicarilla),"
",,"
",,"
",апаче (Хикарилья),"
","
"
331,"
","apk 
","
",,"
",,"
",I/L,"
",Apache,"
",,"
",Apache (Kiowa),"
",Apache (Kiowa),"
",,"
",,"
",апаче (киова),"
","
"
332,"
","apl 
","
",,"
",,"
",I/L,"
",Apache,"
",,"
",Apache (Lipan),"
",Apache (Lipan),"
",,"
",,"
",апаче (липан),"
","
"
333,"
","apm 
","
",,"
",,"
",I/L,"
",Apache,"
",,"
",Apache (Mescalero-Chiricahua),"
",Apache (Mescalero-Chiricahua),"
",,"
",,"
",апаче (мескалеро-чирикахуа),"
","
"
334,"
","apn 
","
",,"
",,"
",I/L,"
",Macro-Jê,"
",,"
",Apinayé,"
",,"
",,"
",,"
",апинайе,"
","
"
335,"
","apo 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Apalik,"
",,"
",,"
",,"
",апалик,"
","
"
336,"
","app 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Apma,"
",,"
",,"
",,"
",апма,"
","
"
337,"
","apq 
","
",,"
",,"
",I/L,"
",Great Andamanese,"
",,"
",A-Pucikwar,"
",,"
",,"
",,"
",пучиквар,"
","
"
338,"
","apr 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Arop-Lukep,"
",,"
",,"
",,"
",ароп-лукеп,"
","
"
339,"
","aps 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Arop-Sissano,"
",,"
",,"
",,"
",ароп-сиссано,"
","
"
340,"
","apt 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",,"
",Apatani,"
",,"
",,"
",,"
",апатани,"
","
"
341,"
","apu 
","
",,"
",,"
",I/L,"
",Arawakan,"
",,"
",Apurinã,"
",,"
",,"
",,"
",апурина,"
","
"
342,"
","apv 
","
",,"
",,"
",I/E,"
",Nambikwaran,"
",,"
",Alapmunte,"
",,"
",,"
",,"
",алапмунте,"
","
"
343,"
","apw 
","
",,"
",,"
",I/L,"
",Apache,"
",Ndéé biyáti',"
",Apache (Western),"
",Apache (occidental),"
",,"
",,"
",апаче (западный),"
","
"
344,"
","apx 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Aputai,"
",,"
",,"
",,"
",апутай,"
","
"
345,"
","apy 
","
",,"
",,"
",I/L,"
",Cariban,"
",,"
",Apalaí,"
",,"
",apalaí,"
",,"
",апалай,"
","
"
346,"
","apz 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Safeyoka,"
",,"
",,"
",,"
",сафейока,"
","
"
347,"
","aqc 
","
",,"
",,"
",I/L,"
",Northeast Caucasian,"
",,"
",Archi,"
",,"
",archi,"
",,"
",арчинский,"
","
"
348,"
","aqd 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Ampari Dogon,"
",,"
",,"
",,"
",ампари-догон,"
","
"
